case_id,architecture,risk_after_change,disposition,technical_validity,money_profile,requested_refund,authority_maximum_configured_input,authority_maximum_enforced,expected_execution,condition_confirmation,transfer_owner,materiality,authority_state,governance_workflow,resulting_authority,enforceable_boundary,actual_execution,prediction_comparison,control_assertion,browser_validation,independent_classification,reason,anomaly,reproduction_notes
C011,SAME_LAYER_REAUTHORIZATION,LOW,NARROW,PASS,ABOVE_LIMIT,400.00,250.00,500.00,ALLOW,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$400.00; Governance disposition=NARROW; New authority maximum=$250.00; Technical validity=PASS; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C012,SAME_LAYER_REAUTHORIZATION,LOW,NARROW,PASS,ABOVE_LIMIT,400.00,250.00,500.00,BLOCK,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$400.00; Governance disposition=NARROW; New authority maximum=$250.00; Technical validity=PASS; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C013,SAME_LAYER_REAUTHORIZATION,LOW,NARROW,FAIL,BELOW_LIMIT,200.00,250.00,500.00,ALLOW,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=NARROW; New authority maximum=$250.00; Technical validity=FAIL; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C014,SAME_LAYER_REAUTHORIZATION,LOW,NARROW,FAIL,BELOW_LIMIT,200.00,250.00,500.00,BLOCK,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=NARROW; New authority maximum=$250.00; Technical validity=FAIL; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C015,SAME_LAYER_REAUTHORIZATION,LOW,NARROW,FAIL,ABOVE_LIMIT,400.00,250.00,500.00,ALLOW,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$400.00; Governance disposition=NARROW; New authority maximum=$250.00; Technical validity=FAIL; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C016,SAME_LAYER_REAUTHORIZATION,LOW,NARROW,FAIL,ABOVE_LIMIT,400.00,250.00,500.00,BLOCK,N/A,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$400.00; Governance disposition=NARROW; New authority maximum=$250.00; Technical validity=FAIL; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C017,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,PASS,BELOW_LIMIT,200.00,250.00,500.00,ALLOW,YES,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=YES; Technical validity=PASS; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C018,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,PASS,BELOW_LIMIT,200.00,250.00,500.00,ALLOW,NO,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=NO; Technical validity=PASS; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C019,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,PASS,BELOW_LIMIT,200.00,250.00,500.00,BLOCK,YES,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=YES; Technical validity=PASS; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C020,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,PASS,BELOW_LIMIT,200.00,250.00,500.00,BLOCK,NO,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",ALLOW,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=NO; Technical validity=PASS; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C021,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,PASS,ABOVE_LIMIT,600.00,250.00,500.00,ALLOW,YES,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$600.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=YES; Technical validity=PASS; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C022,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,PASS,ABOVE_LIMIT,600.00,250.00,500.00,ALLOW,NO,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$600.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=NO; Technical validity=PASS; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C023,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,PASS,ABOVE_LIMIT,600.00,250.00,500.00,BLOCK,YES,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$600.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=YES; Technical validity=PASS; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C024,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,PASS,ABOVE_LIMIT,600.00,250.00,500.00,BLOCK,NO,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$600.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=NO; Technical validity=PASS; Expected execution result=BLOCK; click Apply controls to JSON; click Run experiment.
C025,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,FAIL,BELOW_LIMIT,200.00,250.00,500.00,ALLOW,YES,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=YES; Technical validity=FAIL; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
C026,SAME_LAYER_REAUTHORIZATION,LOW,CONDITION,FAIL,BELOW_LIMIT,200.00,250.00,500.00,ALLOW,NO,N/A,NON_MATERIAL,PRIOR AUTHORITY REMAINS ACTIVE (reauthorization skipped),SKIPPED - NON_MATERIAL,"ACTIVE authority, scope max=$500.00, allowedRisk=LOW","ENFORCEABLE: max=$500.00, allowedRisk=LOW, conditions=0",BLOCK,MISMATCH,"ASSERT-INVALID-BLOCK=F, ASSERT-NARROW-250=F",CONFIRMED_VIA_LIVE_UI,EXPECTED REJECTION,"Risk after change equals the prior risk (LOW->LOW): no materiality rule matches, so the state machine correctly skips reauthorization regardless of the selected disposition and evaluates the request against the untouched prior authority (ACTIVE, $500 max, LOW-only). This is the correct, documented behavior for a non-material change.",,Load default; set Reauthorization architecture=SAME_LAYER_REAUTHORIZATION; Current customer risk=LOW; Requested refund amount=$200.00; Governance disposition=CONDITION; New authority maximum=$250.00; Supervisor confirmation=NO; Technical validity=FAIL; Expected execution result=ALLOW; click Apply controls to JSON; click Run experiment.
