case_id,scenario,architecture,disposition,technical_validity,expected_result,current_risk,requested_amount,new_authority_max,condition_value,transfer_owner,materiality_result,decision_valid,decision_reason,authority_id,authority_version,authority_status,governed_field,governed_op,governed_threshold,execution_result,execution_reason,boundary_id,prediction_match,independent_classification,classification_reason,scenario_specific_extra,decision_owner,recommendation,note
RF-CORE-10,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,LOW,600,300,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,BLOCK,Requested refund exceeds the current authorized maximum.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-11,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,MEDIUM,400,300,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,BLOCK,Requested amount exceeds the current authorized maximum. Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-12,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,MEDIUM,500,300,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,BLOCK,Requested amount exceeds the current authorized maximum. Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-13,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,MEDIUM,600,300,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,BLOCK,Requested amount exceeds the current authorized maximum. Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-14,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,HIGH,400,300,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,BLOCK,Requested amount exceeds the current authorized maximum. Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-15,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,HIGH,600,300,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,BLOCK,Requested amount exceeds the current authorized maximum. Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-16,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,LOW,400,,true,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-17,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,LOW,500,,true,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-18,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,LOW,600,,true,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,BLOCK,Requested refund exceeds the current authorized maximum.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-19,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,MEDIUM,400,,true,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-DECISION-REFUND-3,MATCH,REVIEW REQUIRED,"Under CONDITION with supervisorConfirmation=true, a MEDIUM-risk $400 refund is ALLOWed even though the base RENEW authority restricts refunds to LOW-risk customers only. CONDITION appears to drop the pre-existing customerRisk constraint entirely rather than layering an additional requirement on top of it. This may be the intended design (a supervisor sign-off is meant to substitute for the risk gate) or unintended scope creep; the harness's own evidence does not disambiguate organizational intent from implementation.",,,,
RF-CORE-20,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,MEDIUM,500,,true,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-DECISION-REFUND-3,MATCH,PASS,Execution outcome is consistent with the declared authority boundary and constraint values.,,,,
RF-CORE-21,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,MEDIUM,600,,true,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,BLOCK,Requested amount exceeds the current authorized maximum.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-22,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,HIGH,400,,true,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-DECISION-REFUND-3,MATCH,REVIEW REQUIRED,Same pattern as RF-CORE-19 at HIGH risk: CONDITION+supervisorConfirmation=true ALLOWs a HIGH-risk refund with no risk-scope constraint present in the resulting authority.,,,,
RF-CORE-23,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,HIGH,600,,true,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,BLOCK,Requested amount exceeds the current authorized maximum.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-24,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,LOW,400,,,Finance Authority,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-25,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,LOW,500,,,Finance Authority,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-26,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,LOW,600,,,Finance Authority,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,BLOCK,Requested refund exceeds the current authorized maximum.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-27,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,MEDIUM,400,,,Finance Authority,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-28,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,MEDIUM,500,,,Finance Authority,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-29,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,MEDIUM,600,,,Finance Authority,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-30,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,HIGH,400,,,Finance Authority,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-31,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,HIGH,600,,,Finance Authority,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-32,REFUND-V2,SAME_LAYER,SUSPEND,PASS,ALLOW,LOW,400,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-33,REFUND-V2,SAME_LAYER,SUSPEND,PASS,ALLOW,LOW,500,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-34,REFUND-V2,SAME_LAYER,SUSPEND,PASS,ALLOW,LOW,600,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,BLOCK,Requested refund exceeds the current authorized maximum.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-35,REFUND-V2,SAME_LAYER,SUSPEND,PASS,ALLOW,MEDIUM,400,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,SUSPENDED,amountCents,LTE,50000,BLOCK,No enforceable boundary was created.,,MISMATCH,PASS,SUSPEND correctly left no active executable boundary.,,,,
RF-CORE-36,REFUND-V2,SAME_LAYER,SUSPEND,PASS,ALLOW,MEDIUM,500,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,SUSPENDED,amountCents,LTE,50000,BLOCK,No enforceable boundary was created.,,MISMATCH,PASS,SUSPEND correctly left no active executable boundary.,,,,
RF-CORE-37,REFUND-V2,SAME_LAYER,SUSPEND,PASS,ALLOW,MEDIUM,600,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,SUSPENDED,amountCents,LTE,50000,BLOCK,No enforceable boundary was created.,,MISMATCH,PASS,SUSPEND correctly left no active executable boundary.,,,,
RF-CORE-38,REFUND-V2,SAME_LAYER,SUSPEND,PASS,ALLOW,HIGH,400,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,SUSPENDED,amountCents,LTE,50000,BLOCK,No enforceable boundary was created.,,MISMATCH,PASS,SUSPEND correctly left no active executable boundary.,,,,
RF-CORE-39,REFUND-V2,SAME_LAYER,SUSPEND,PASS,ALLOW,HIGH,600,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,SUSPENDED,amountCents,LTE,50000,BLOCK,No enforceable boundary was created.,,MISMATCH,PASS,SUSPEND correctly left no active executable boundary.,,,,
RF-CORE-40,REFUND-V2,SAME_LAYER,REFUSE,PASS,ALLOW,LOW,400,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-41,REFUND-V2,SAME_LAYER,REFUSE,PASS,ALLOW,LOW,500,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-CORE-42,REFUND-V2,SAME_LAYER,REFUSE,PASS,ALLOW,LOW,600,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,BLOCK,Requested refund exceeds the current authorized maximum.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-CORE-43,REFUND-V2,SAME_LAYER,REFUSE,PASS,ALLOW,MEDIUM,400,,,,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-44,REFUND-V2,SAME_LAYER,REFUSE,PASS,ALLOW,MEDIUM,500,,,,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-45,REFUND-V2,SAME_LAYER,REFUSE,PASS,ALLOW,MEDIUM,600,,,,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-46,REFUND-V2,SAME_LAYER,REFUSE,PASS,ALLOW,HIGH,400,,,,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-CORE-47,REFUND-V2,SAME_LAYER,REFUSE,PASS,ALLOW,HIGH,600,,,,MATERIAL,True,,,,,,,,BLOCK,No executable authority was created by the governance decision.,,MISMATCH,PASS,Disposition correctly created no executable authority; BLOCK is the expected result.,,,,
RF-NAR-1000,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,LOW,400,300,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-NAR-1002,REFUND-V2,SAME_LAYER,NARROW,PASS,ALLOW,LOW,400,700,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-COND-2000,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,LOW,400,,false,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-COND-2001,REFUND-V2,SAME_LAYER,CONDITION,PASS,ALLOW,MEDIUM,400,,false,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,BLOCK,Required condition was not satisfied: supervisorConfirmation,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,CONDITION predicate correctly and causally consumed (matched-pair verified).,,,,
RF-TRAN-3000-EMPTYOWNER-ANOMALY,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,LOW,400,,,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,amountCents,LTE,25000,BLOCK,Requested refund exceeds the current authorized maximum. Requested customer risk is outside the current authority scope.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,FAIL-IMPLEMENTATION,Empty transfer-decision-owner string causes a LOW-risk/$400 request (otherwise always NON_MATERIAL) to be reclassified MATERIAL and evaluated against an authority scope with an unexplained $250 cap never configured anywhere else in the scenario.,,,,
RF-TRAN-CHECK-NONEMPTYOWNER,REFUND-V2,SAME_LAYER,TRANSFER,PASS,ALLOW,LOW,400,,,Finance Authority,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-TVFAIL-RENEW,REFUND-V2,SAME_LAYER,RENEW,FAIL,ALLOW,LOW,400,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,BLOCK,Technical validity is not PASS.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,Technical FAIL independently blocked execution as required.,,,,
RF-TVFAIL-NARROW,REFUND-V2,SAME_LAYER,NARROW,FAIL,ALLOW,LOW,400,300,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,BLOCK,Technical validity is not PASS.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,Technical FAIL independently blocked execution as required.,,,,
RF-ERBLOCK-RENEW,REFUND-V2,SAME_LAYER,RENEW,PASS,BLOCK,LOW,400,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-ERBLOCK-CONDITION,REFUND-V2,SAME_LAYER,CONDITION,PASS,BLOCK,MEDIUM,400,,true,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-DECISION-REFUND-3,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.",,,,
RF-SEP-RENEW,REFUND-V2,SEPARATED,RENEW,PASS,ALLOW,LOW,400,,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-SEP-NARROW,REFUND-V2,SEPARATED,NARROW,PASS,ALLOW,LOW,400,300,,,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
RF-SEP-CONDITION,REFUND-V2,SEPARATED,CONDITION,PASS,ALLOW,MEDIUM,400,,true,,MATERIAL,True,,AUTH-DECISION-REFUND-3,105,ACTIVE,,,,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-DECISION-REFUND-3,MATCH,PASS,Execution outcome is consistent with the declared authority boundary and constraint values.,,,,
RF-SEP-TRANSFER,REFUND-V2,SEPARATED,TRANSFER,PASS,ALLOW,LOW,400,,,Finance Authority,NON_MATERIAL,True,No reauthorization was required because the change was NON_MATERIAL.,AUTH-REFUND-104,104,ACTIVE,amountCents,LTE,50000,ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,BOUNDARY-AUTH-REFUND-104,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,,,,
AC-1-RENEW,ACCESS-V2,SAME_LAYER,RENEW,PASS,ALLOW,,,,,,MATERIAL,,,AUTH-DECISION-ACCESS-2,21,ACTIVE,accessLevel,IN,"[""PRODUCTION_ADMIN""]",ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,,MATCH,PASS,Execution outcome is consistent with the declared authority boundary and constraint values.,"{""context"": ""BUSINESS_ANALYTICS"", ""ticket"": ""true""}",,,
AC-2-RENEW-nochange,ACCESS-V2,SAME_LAYER,RENEW,PASS,ALLOW,,,,,,NON_MATERIAL,,,AUTH-ACCESS-20,20,ACTIVE,accessLevel,IN,"[""PRODUCTION_ADMIN"", ""READ_ONLY""]",ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,,MATCH,PASS,NON_MATERIAL change correctly left prior authority operative without requiring reauthorization.,"{""context"": ""PRODUCTION_OPERATIONS"", ""ticket"": ""true""}",,,
AC-3-NARROW,ACCESS-V2,SAME_LAYER,NARROW,PASS,ALLOW,,,,,,MATERIAL,,,AUTH-DECISION-ACCESS-2,21,ACTIVE,accessLevel,IN,"[""READ_ONLY""]",BLOCK,Requested access level is outside the narrowed authority. Current organizational context is outside the narrowed authority.,,MISMATCH,PASS,"Actual execution correctly ignored the prediction control (prediction != permission), matched-pair verified.","{""context"": ""BUSINESS_ANALYTICS"", ""ticket"": ""true""}",,,new-authority-maximum field inert for this scenario; narrowed scope is fixed regardless of dollar value entered
AC-4-CONDITION-true,ACCESS-V2,SAME_LAYER,CONDITION,PASS,ALLOW,,,,,,MATERIAL,,,AUTH-DECISION-ACCESS-2,21,ACTIVE,accessLevel,IN,"[""PRODUCTION_ADMIN""]",ALLOW,Requested action is within the current enforceable boundary and all required conditions are satisfied.,,MATCH,PASS,Execution outcome is consistent with the declared authority boundary and constraint values.,"{""context"": ""BUSINESS_ANALYTICS"", ""ticket"": ""true""}",,,
AC-5-CONDITION-ticketfalse,ACCESS-V2,SAME_LAYER,CONDITION,PASS,ALLOW,,,,,,MATERIAL,,,AUTH-DECISION-ACCESS-2,21,ACTIVE,accessLevel,IN,"[""PRODUCTION_ADMIN""]",BLOCK,Required condition was not satisfied: approvedChangeTicket,,MISMATCH,PASS,CONDITION predicate correctly and causally consumed (matched-pair verified).,"{""context"": ""BUSINESS_ANALYTICS"", ""ticket"": ""false""}",,,
